"","name","states","ref","time"
"1","AB462295_Shanghai_1_2006_|China|_H5N1_2006.496","D_m",NA,2006
"2","AB521159_peregrine_falcon_Hong_Kong_810_2009_|Hong_Kong|_H5N1_2009.496","W_a",NA,2009
"3","CY030881_duck_Yunnan_4873_2006_|China|_H5N1_2006.496","D_a",NA,2006
"4","CY030889_duck_Yunnan_5310_2006_|China|_H5N1_2006.496","D_a",NA,2006
"5","CY030897_duck_Yunnan_6490_2006_|China|_H5N1_2006.496","D_a",NA,2006
"6","CY030905_goose_Yunnan_3798_2006_|China|_H5N1_2006.496","D_a",NA,2006
"7","CY030913_goose_Yunnan_4371_2006_|China|_H5N1_2006.496","D_a",NA,2006
"8","CY030921_goose_Yunnan_4389_2006_|China|_H5N1_2006.496","D_a",NA,2006
"9","CY030929_goose_Yunnan_4985_2006_|China|_H5N1_2006.496","D_a",NA,2006
"10","CY030937_goose_Yunnan_5141_2006_|China|_H5N1_2006.496","D_a",NA,2006
"11","CY030945_goose_Yunnan_5540_2006_|China|_H5N1_2006.496","D_a",NA,2006
"12","CY030953_goose_Yunnan_5599_2006_|China|_H5N1_2006.496","D_a",NA,2006
"13","CY030961_goose_Yunnan_5769_2006_|China|_H5N1_2006.496","D_a",NA,2006
"14","CY030969_goose_Yunnan_5979_2006_|China|_H5N1_2006.496","D_a",NA,2006
"15","CY030977_goose_Yunnan_6193_2006_|China|_H5N1_2006.496","D_a",NA,2006
"16","CY030985_goose_Yunnan_6384_2006_|China|_H5N1_2006.496","D_a",NA,2006
"17","CY036053_scaly_breasted_munia_Hong_Kong_45_2007_|Hong_Kong|_H5N1_2007.496","W_a",NA,2007
"18","CY036061_crested_goshawk_Hong_Kong_458_2007_|Hong_Kong|_H5N1_2007.496","W_a",NA,2007
"19","CY036069_house_crow_Hong_Kong_719_2007_|Hong_Kong|_H5N1_2007.496","W_a",NA,2007
"20","CY036077_Japanese_white_eye_Hong_Kong_737_2007_|Hong_Kong|_H5N1_2007.496","W_a",NA,2007
"21","CY036085_white_backed_munia_Hong_Kong_828_2007_|Hong_Kong|_H5N1_2007.496","W_a",NA,2007
"22","CY036101_house_crow_Hong_Kong_1203_2007_|Hong_Kong|_H5N1_2007.496","W_a",NA,2007
"23","CY036109_blue_magpie_Hong_Kong_1993_2007_|Hong_Kong|_H5N1_2007.496","W_a",NA,2007
"24","CY036117_silver_eared_mesia_Hong_Kong_2065_2007_|Hong_Kong|_H5N1_2007.496","W_a",NA,2007
"25","CY036125_common_kestrel_Hong_Kong_2372_2007_|Hong_Kong|_H5N1_2007.496","W_a",NA,2007
"26","CY036133_scaly_breasted_munia_Hong_Kong_2433_2007_|Hong_Kong|_H5N1_2007.496","W_a",NA,2007
"27","CY036141_chestnut_munia_Hong_Kong_2442_2007_|Hong_Kong|_H5N1_2007.496","W_a",NA,2007
"28","CY036149_scaly_breasted_munia_Hong_Kong_2572_2007_|Hong_Kong|_H5N1_2007.496","W_a",NA,2007
"29","CY036157_long_tailed_shrike_Hong_Kong_2762_2007_|Hong_Kong|_H5N1_2007.496","W_a",NA,2007
"30","CY036269_peregrine_falcon_Hong_Kong_2142_2008_|Hong_Kong|_H5N1_2008.497","W_a",NA,2008
"31","CY091627_duck_Guangdong_wy11_2008_|China|_H5N5_2008.429","D_a",NA,2008
"32","CY091635_duck_Guangdong_wy19_2008_|China|_H5N5_2008.429","D_a",NA,2008
"33","CY091643_duck_Guangdong_wy24_2008_|China|_H5N5_2008.429","D_a",NA,2008
"34","CY098603_Sichuan_2_2006_|China|_H5N1_2006.025","D_m",NA,2006
"35","CY098641_Hubei_1_2006_|China|_H5N1_2006.247","D_m",NA,2006
"36","CY098648_Sichuan_3_2006_|China|_H5N1_2006.288","D_m",NA,2006
"37","CY098655_Guangdong_2_2006_|China|_H5N1_2006.419","D_m",NA,2006
"38","CY098668_Anhui_1_2006_|China|_H5N1_2006.940","D_m",NA,2006
"39","CY098681_Anhui_1_2007_|China|_H5N1_2007.205","D_m",NA,2007
"40","CY098688_Hunan_1_2008_|China|_H5N1_2008.041","D_m",NA,2008
"41","CY098695_Guangxi_1_2008_|China|_H5N1_2008.115","D_m",NA,2008
"42","CY098702_Guangdong_1_2008_|China|_H5N1_2008.126","D_m",NA,2008
"43","CY098709_Beijing_1_2009_|China|_H5N1_2008.923","D_m",NA,2008
"44","CY098716_Shandong_1_2009_|China|_H5N1_2009.011","D_m",NA,2009
"45","CY098723_Hunan_1_2009_|China|_H5N1_2009.019","D_m",NA,2009
"46","CY098730_Xinjiang_1_2009_|China|_H5N1_2009.025","D_m",NA,2009
"47","CY098737_Guizhou_1_2009_|China|_H5N1_2009.038","D_m",NA,2009
"48","CY098751_Hunan_2_2009_|China|_H5N1_2009.060","D_m",NA,2009
"49","CY098766_water_Hebei_1_2009_|China|_H5N1_2009.014","D_e","GenBank",2009
"50","CY098774_water_Hebei_2_2009_|China|_H5N1_2009.014","D_e","GenBank",2009
"51","CY098782_water_Hebei_3_2009_|China|_H5N1_2009.014","D_e","GenBank",2009
"52","CY098790_duck_feces_Hebei_5_2009_|China|_H5N1_2009.014","D_a",NA,2009
"53","CY098798_environment_Guizhou_2_2009_|China|_H5N1_2009.041","D_e","GenBank",2009
"54","CY098806_environment_Guizhou_4_2009_|China|_H5N1_2009.041","D_e","GenBank",2009
